var_name,var_class,var_stem,var_valid_min,var_valid_max,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,notes
sfsr_28_text,text,enter date of scheduled intake appointment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_29,text,Insert time of scheduled appointment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sfsr_30,text,Please explain below why intake visit was not scheduled.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
q108,text,Participant Phone Model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q109,text,Participant Provider? Government Issued Phone? Data plan?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q110,character,WiFi at Home?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q76_1,character,feasibility assessment,NA,NA,NA,No concerns - Continue with Session,Consult with Candace/John/Susan,Major Concerns - Discontinue Session,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
q99,character,Who did you consult with?,NA,NA,NA,Candace,John,Susan,other,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 3 asked this question
sfsr_20,character,Does participant have a cell phone number that they plan to port?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_21,text,Please explain below if participant does not plan to port his/her phone. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_22,character,Did participant complete a port request form?,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_23,text,Please explain below if participant did not complete a port request form. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_24,character,Did the participant sign the phone transfer conditions form? ,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
sfsr_25,text,If the phone transfer conditions form wasn't completed please explain reason below. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,only session form version 1 asked this question
